"Row.names";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"regulation_COVID";"Family";"Class";"Category";"Chrom";"Start";"End";"Strand";"TE_CODING";"IntersectedGene";"IntersectedGeneType";"IntersectedOrientation";"IntersectedGeneID";"TE_type";"TE_5UTR_Intersect";"TE_3UTR_Intersect";"ClosestUpstream_gn";"ClosestUpstream_id";"DistUpstream";"ClosestDownstream_gn";"ClosestDownstream_id";"DistDownstream";"FANTOM_enhancer";"FANTOM_CAGE";"locus";"Family_group"
"ERV316A3_2q34c";149,023914875758;-2,96285795894263;0,691641941784445;-4,28380319345357;1,83725441873582e-05;0,000248869389110174;"down";"ERV316A3";"HERV";"oneside";"chr2";210882425;210886739;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"CPS1";"ENSG00000021826";203318;"AC012491.1";"ENSG00000271074";218195;"None";"None";"ERV316A3_2q34c";"ERV3"
"ERV316A3_3q27.3e";18,3733303270486;1,88601442028488;0,496296666768379;3,80017547279857;0,000144593664514121;0,00127095585078298;"up";"ERV316A3";"HERV";"oneside";"chr3";187374111;187378966;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC068299.2";"ENSG00000280270";4135;"RTP4";"ENSG00000136514";2035;"None";"None";"ERV316A3_3q27.3e";"ERV3"
"ERV316A3_4q13.1b";14,7808548424283;1,59681189262735;0,579877397021506;2,75370604343133;0,00589246665337369;0,0236769720403916;"up";"ERV316A3";"HERV";"oneside";"chr4";59678275;59681045;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC096588.2";"ENSG00000249392";47951;"AC093857.1";"ENSG00000249892";86771;"None";"None";"ERV316A3_4q13.1b";"ERV3"
"ERV316A3_4q21.1j";79,7522385757675;-2,72407014362819;0,743831386321413;-3,66221457405819;0,000250044280032488;0,00197116452173251;"down";"ERV316A3";"HERV";"oneside";"chr4";77479330;77482751;"+";"noncoding";"AC092674.1";"lncRNA";"ANTISENSE";"ENSG00000249036";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_4q21.1j";"ERV3"
"ERV316A3_4q21.1k";32,5345710185328;-2,15134297811833;0,811456840379747;-2,65121060180051;0,00802038133987422;0,0300354102180396;"down";"ERV316A3";"HERV";"oneside";"chr4";77490147;77491130;"-";"noncoding";"AC092674.1";"lncRNA";"SENSE";"ENSG00000249036";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_4q21.1k";"ERV3"
"ERV316A3_4q21.1l";28,2711549396453;-2,81320228841289;0,838594613331408;-3,35466296073277;0,000794617345980847;0,00486842275216017;"down";"ERV316A3";"HERV";"internal";"chr4";77491739;77492568;"+";"noncoding";"AC092674.1";"lncRNA";"ANTISENSE";"ENSG00000249036";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_4q21.1l";"ERV3"
"ERV316A3_4q34.3b";106,890908342927;-2,1079457140501;0,469309537699654;-4,49158933437046;7,06936364870767e-06;0,000116982046395912;"down";"ERV316A3";"HERV";"prototype";"chr4";179220300;179226576;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC018710.1";"ENSG00000250839";150706;"AC020551.1";"ENSG00000250993";162558;"None";"None";"ERV316A3_4q34.3b";"ERV3"
"ERV316A3_5q12.1a";62,2092406630727;-2,84191065043487;0,502195451944253;-5,65897329303242;1,52281248018766e-08;7,99171989602482e-07;"down";"ERV316A3";"HERV";"oneside";"chr5";60670640;60671772;"+";"noncoding";"DEPDC1B";"protein_coding";"ANTISENSE";"ENSG00000035499";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_5q12.1a";"ERV3"
"ERV316A3_6q25.2a";34,770400897152;-1,91441708405621;0,530740796155525;-3,60706600646395;0,000309678902972335;0,00234081567481311;"down";"ERV316A3";"HERV";"oneside";"chr6";153319345;153321133;"+";"noncoding";"AL590867.1,AL358134.1";"lncRNA,lncRNA";"SENSE,ANTISENSE";"ENSG00000213121,ENSG00000237312";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_6q25.2a";"ERV3"
"ERV316A3_8p22a";55,5491033904404;2,29001871258059;0,447670059621074;5,11541628340961;3,13049770434059e-07;9,81245423776929e-06;"up";"ERV316A3";"HERV";"prototype";"chr8";13750377;13754086;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC022880.1";"ENSG00000255413";7596;"AC022690.2";"ENSG00000254753";90015;"None";"None";"ERV316A3_8p22a";"ERV3"
"ERV316A3_8q21.11b";38,5745615411738;1,66200244788959;0,488361173880416;3,40322395960282;0,000665956682468008;0,00424143285144673;"up";"ERV316A3";"HERV";"internal";"chr8";72489080;72490702;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC011131.1";"ENSG00000254347";18108;"KCNB2";"ENSG00000182674";46523;"None";"None";"ERV316A3_8q21.11b";"ERV3"
"ERV316A3_8q24.3a";12,5199955179829;-2,35136332382741;0,529448125839626;-4,44115902780559;8,94756376424086e-06;0,000139043021338051;"down";"ERV316A3";"HERV";"internal";"chr8";139188905;139190614;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC087354.1";"ENSG00000254258";269448;"AC100807.2";"ENSG00000253783";60952;"None";"None";"ERV316A3_8q24.3a";"ERV3"
"ERV316A3_9q21.31b";303,029621308292;-1,69574607467523;0,390508088193299;-4,34240960928791;1,4092847340044e-05;0,000198510291366509;"down";"ERV316A3";"HERV";"prototype";"chr9";81128337;81134257;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AL138749.1";"ENSG00000226798";257042;"RPS20P25";"ENSG00000228375";276022;"None";"None";"ERV316A3_9q21.31b";"ERV3"
"ERV316A3_9q31.1b";82,0544682023657;3,04927698943852;0,436220016890052;6,99022711332175;2,7444161054106e-12;6,81208581407865e-10;"up";"ERV316A3";"HERV";"oneside";"chr9";103979252;103983451;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AL590381.1";"ENSG00000285483";16304;"RNA5SP291";"ENSG00000253031";289675;"None";"None";"ERV316A3_9q31.1b";"ERV3"
"ERV316A3_Xp11.23d";41,905417669146;-1,90415462703342;0,667566552056767;-2,85238171560084;0,00433929584914551;0,0185186306127102;"down";"ERV316A3";"HERV";"oneside";"chrX";49853505;49855494;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"USP27X-AS1";"ENSG00000234390";21230;"PAGE4";"ENSG00000101951";19241;"None";"None";"ERV316A3_Xp11.23d";"ERV3"
"ERVL_11p14.1";173,773453695317;2,37224580144302;0,418336239883391;5,67066769568966;1,42242060795247e-08;7,50776486404338e-07;"up";"ERVL";"HERV";"prototype";"chr11";27548823;27555802;"-";"noncoding";"BDNF-AS";"lncRNA";"ANTISENSE";"ENSG00000245573";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVL_11p14.1";"ERVL"
"ERVL_12q22b";19,6760659007568;1,91540736022077;0,673901476134991;2,84226615915157;0,00447940782173139;0,0189842553921463;"up";"ERVL";"HERV";"internal";"chr12";92713136;92714978;"-";"noncoding";"PLEKHG7";"protein_coding";"ANTISENSE";"ENSG00000187510";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVL_12q22b";"ERVL"
"ERVL_1p36.22a";71,3893383303015;1,6358617961237;0,302964947092567;5,39950846400684;6,68237315443277e-08;2,76445563289687e-06;"up";"ERVL";"HERV";"prototype";"chr1";9302227;9304444;"+";"noncoding";"SPSB1";"protein_coding";"SENSE";"ENSG00000171621";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVL_1p36.22a";"ERVL"
"ERVL_8q24.3";14,9226532555301;-3,9094838353166;0,73464200087077;-5,32161764598634;1,02848564377649e-07;3,91934114209266e-06;"down";"ERVL";"HERV";"prototype";"chr8";138994354;138996020;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC027541.1";"ENSG00000253432";100285;"COL22A1";"ENSG00000169436";80313;"None";"None";"ERVL_8q24.3";"ERVL"
"ERVLB4_11p15.4c";27,1536469559001;1,57038091522282;0,414137289018464;3,79193315082721;0,000149479155615248;0,00130371943510963;"up";"ERVLB4";"HERV";"internal";"chr11";5649261;5651245;"-";"noncoding";"AC104389.5";"protein_coding";"SENSE";"ENSG00000239920";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_11p15.4c";"ERVL"
"ERVLB4_11p15.5e";40,4204713806413;1,719967175573;0,637435845579316;2,69825926405167;0,0069703131713312;0,0270449328962847;"up";"ERVLB4";"HERV";"prototype";"chr11";2354004;2362091;"+";"noncoding";"CD81-AS1";"lncRNA";"ANTISENSE";"ENSG00000238184";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_11p15.5e";"ERVL"
"ERVLB4_13q12.3a";12,5376925827411;-1,52626044706342;0,464307007870461;-3,28717943341755;0,00101196331262656;0,00592343598671913;"down";"ERVLB4";"HERV";"internal";"chr13";29418046;29419000;"-";"noncoding";"MTUS2";"protein_coding";"ANTISENSE";"ENSG00000132938";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_13q12.3a";"ERVL"
"ERVLB4_13q21.32b";19,634658880908;-1,89236946543927;0,567261747418754;-3,33597228096242;0,000850016385697885;0,00514192573796573;"down";"ERVLB4";"HERV";"oneside";"chr13";66076395;66080242;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AL158038.1";"ENSG00000286395";102696;"MIR4704";"ENSG00000263561";138008;"None";"None";"ERVLB4_13q21.32b";"ERVL"
"ERVLB4_13q31.3";26,135485934891;2,05510129907164;0,559922585358922;3,67033113649859;0,000242236454747806;0,00191949922381695;"up";"ERVLB4";"HERV";"prototype";"chr13";93098531;93101508;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AL354811.2";"ENSG00000288001";49115;"LINC00363";"ENSG00000232849";40605;"None";"None";"ERVLB4_13q31.3";"ERVL"
"ERVLB4_15q11.2d";110,23221601167;-1,5327816309065;0,418778373537131;-3,66012604223124;0,000252091214950091;0,00198219667645688;"down";"ERVLB4";"HERV";"oneside";"chr15";23544674;23546901;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"MIR4508";"ENSG00000265673";15161;"GOLGA6L2";"ENSG00000174450";97431;"None";"None";"ERVLB4_15q11.2d";"ERVL"
"ERVLB4_15q26.1b";44,7698863913795;-3,10415573622105;0,738335542827741;-4,20426155340224;2,6193590679435e-05;0,000333650397780765;"down";"ERVLB4";"HERV";"internal";"chr15";91630261;91632467;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC104035.1";"ENSG00000258551";24388;"AC107958.2";"ENSG00000258765";10550;"None";"None";"ERVLB4_15q26.1b";"ERVL"
"ERVLB4_19q13.31a";26,4594664059522;1,65260484229747;0,489941151928753;3,37306804254277;0,00074335580544977;0,00459999708697441;"up";"ERVLB4";"HERV";"oneside";"chr19";43979355;43980979;"+";"noncoding";"ZNF155";"protein_coding";"SENSE";"ENSG00000204920";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_19q13.31a";"ERVL"
"ERVLB4_1p21.3a";32,0738592702189;-1,59827193264849;0,406896165145051;-3,92796017647091;8,56693921055694e-05;0,00085624939010289;"down";"ERVLB4";"HERV";"internal";"chr1";94785085;94786547;"+";"noncoding";"SLC44A3-AS1";"transcribed_processed_pseudogene";"ANTISENSE";"ENSG00000224081";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_1p21.3a";"ERVL"
"ERVLB4_2q11.2";82,5244900717335;-1,60661886512299;0,543120138305576;-2,95812795698445;0,00309513614611891;0,0141986665164616;"down";"ERVLB4";"HERV";"internal";"chr2";100175931;100179071;"+";"noncoding";"AFF3";"protein_coding";"ANTISENSE";"ENSG00000144218";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_2q11.2";"ERVL"
"ERVLB4_3p21.31a";37,121593323353;-2,03014859731407;0,748145959424313;-2,71357289542302;0,00665619220540996;0,026112972752877;"down";"ERVLB4";"HERV";"internal";"chr3";44434466;44439444;"-";"noncoding";"C3orf86,ZNF445";"transcribed_unitary_pseudogene,protein_coding";"SENSE,SENSE";"ENSG00000225873,ENSG00000185219";"EXONIC";FALSE;TRUE;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_3p21.31a";"ERVL"
"ERVLB4_3q25.2b";18,4805870608664;-2,0927615821721;0,599411202470402;-3,49136214596428;0,000480564387551447;0,00329655284201528;"down";"ERVLB4";"HERV";"oneside";"chr3";155245126;155247406;"+";"noncoding";"LINC01487";"lncRNA";"SENSE";"ENSG00000241336";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_3q25.2b";"ERVL"
"ERVLB4_3q26.33a";28,8935659059531;2,77110664819417;0,572803392995358;4,83779719547964;1,31285995031105e-06;3,10755303702491e-05;"up";"ERVLB4";"HERV";"oneside";"chr3";180402647;180404488;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC068760.1";"ENSG00000239880";77588;"LINC02053";"ENSG00000241696";8520;"None";"None";"ERVLB4_3q26.33a";"ERVL"
"ERVLB4_4q21.1b";1398,56062027692;-2,25377792686457;0,468358551331827;-4,81207809797796;1,4936895841086e-06;3,42951128511335e-05;"down";"ERVLB4";"HERV";"prototype";"chr4";77438932;77443854;"+";"noncoding";"AC092674.1";"lncRNA";"ANTISENSE";"ENSG00000249036";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_4q21.1b";"ERVL"
"ERVLB4_4q25b";2001,45480071169;-2,9173475019261;0,459253370225194;-6,35237037127368;2,12022077011741e-10;2,46482374085549e-08;"down";"ERVLB4";"HERV";"prototype";"chr4";111170828;111178838;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC004062.1";"ENSG00000251312";106601;"RNU6-289P";"ENSG00000200963";152574;"None";"None";"ERVLB4_4q25b";"ERVL"
"ERVLB4_4q31.21a";180,442560216118;2,71372306886433;0,59549898449191;4,55705742500926;5,18752449628312e-06;9,21513055587314e-05;"up";"ERVLB4";"HERV";"oneside";"chr4";141493932;141498355;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC097504.2";"ENSG00000272632";62648;"LINC02276";"ENSG00000250141";71576;"None";"None";"ERVLB4_4q31.21a";"ERVL"
"ERVLB4_4q34.3d";80,9654508227877;-2,24405313507113;0,509883823632731;-4,40110674444052;1,07700121529395e-05;0,000160171070132303;"down";"ERVLB4";"HERV";"oneside";"chr4";179324461;179326260;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC020551.1";"ENSG00000250993";62874;"AC018710.1";"ENSG00000250839";254867;"None";"None";"ERVLB4_4q34.3d";"ERVL"
"ERVLB4_5p15.31";36,5054766744617;2,7100912802234;0,678750505849742;3,9927650246545;6,53072767491859e-05;0,000696610951991317;"up";"ERVLB4";"HERV";"unknown";"chr5";8662542;8668668;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC091953.2";"ENSG00000279002";2483;"AC091953.6";"ENSG00000280373";350;"None";"None";"ERVLB4_5p15.31";"ERVL"
"ERVLB4_5q23.3";13,5974874481334;-1,55819344442116;0,397204795001116;-3,92289686335933;8,74906106734614e-05;0,000869603645481677;"down";"ERVLB4";"HERV";"internal";"chr5";129738869;129743898;"-";"noncoding";"AC008591.1";"lncRNA";"SENSE";"ENSG00000251680";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_5q23.3";"ERVL"
"ERVLB4_6q23.2a";161,98721797028;-1,92481122581691;0,39117052494938;-4,92064484169912;8,6259535996743e-07;2,22530218706204e-05;"down";"ERVLB4";"HERV";"internal";"chr6";132478457;132480921;"+";"noncoding";"STX7";"protein_coding";"ANTISENSE";"ENSG00000079950";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_6q23.2a";"ERVL"
"ERVLB4_7q21.13d";113,116842314459;2,35578562230522;0,495501561050004;4,75434551066426;1,99090310642971e-06;4,30222450104716e-05;"up";"ERVLB4";"HERV";"internal";"chr7";91414182;91415378;"+";"noncoding";"AC079760.2,AC079760.1";"lncRNA,lncRNA";"SENSE,ANTISENSE";"ENSG00000243144,ENSG00000235450";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_7q21.13d";"ERVL"
"ERVLB4_8p21.3a";148,781492755872;-1,96968791631589;0,443118438893118;-4,44505970285516;8,78674624548633e-06;0,00013700760189906;"down";"ERVLB4";"HERV";"internal";"chr8";23034222;23038768;"+";"noncoding";"TNFRSF10B";"protein_coding";"ANTISENSE";"ENSG00000120889";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_8p21.3a";"ERVL"
"ERVLB4_8q21.13e";940,568731050738;-2,49266911831555;0,609618991210714;-4,08889676052424;4,33429691247254e-05;0,000494486743405563;"down";"ERVLB4";"HERV";"prototype";"chr8";79246158;79251002;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC083837.1";"ENSG00000285744";290076;"AC138646.1";"ENSG00000253659";8400;"None";"None";"ERVLB4_8q21.13e";"ERVL"
"ERVLB4_8q24.13b";15,7956983495552;-1,98222609613184;0,558683276535399;-3,54803191608733;0,00038812118767583;0,00277393384250181;"down";"ERVLB4";"HERV";"oneside";"chr8";126033341;126036390;"-";"noncoding";"LINC00861";"lncRNA";"SENSE";"ENSG00000245164";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_8q24.13b";"ERVL"
"ERVLB4_8q24.3a";87,1376814524317;-4,07307452630507;0,693492336613023;-5,87327979166682;4,27256456350488e-09;2,90660984823917e-07;"down";"ERVLB4";"HERV";"internal";"chr8";139124441;139129844;"-";"noncoding";"AC100807.2";"lncRNA";"SENSE";"ENSG00000253783";"EXONIC";FALSE;FALSE;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLB4_8q24.3a";"ERVL"
"ERVLB4_Xq21.32";253,313354801038;-2,6690849259832;0,619709103667228;-4,30699647655402;1,65486245030865e-05;0,000226096621134017;"down";"ERVLB4";"HERV";"oneside";"chrX";93254222;93256312;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"ST13P18";"ENSG00000234322";31421;"AL359263.1";"ENSG00000234130";29207;"None";"None";"ERVLB4_Xq21.32";"ERVL"
"ERVLB4_Xq25b";77,307647443827;-1,92737972384969;0,298429559373336;-6,45840756491058;1,05810460349959e-10;1,40835256210728e-08;"down";"ERVLB4";"HERV";"oneside";"chrX";127755272;127756783;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"Z75741.2";"ENSG00000235274";24414;"Z75741.1";"ENSG00000224548";39341;"None";"None";"ERVLB4_Xq25b";"ERVL"
"ERVLE_10q23.1h";49,3757465044354;-3,93998263315649;0,780798756576721;-5,04609235090316;4,50937507875847e-07;1,30643850862201e-05;"down";"ERVLE";"HERV";"internal";"chr10";86011630;86014581;"+";"noncoding";"GRID1";"protein_coding";"ANTISENSE";"ENSG00000182771";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERVLE_10q23.1h";"ERVL"
